Country,Year,OFR_change,Inflation_pct
Cyprus,2028,0.0,0.0
Cyprus,2029,0.0,0.0
Cyprus,2030,0.0,0.0
Cyprus,2031,0.0,0.0
Czech Republic,2027,-0.0004355406407510578,-0.00021777032037697565
Czech Republic,2028,-0.00012691764121508563,-6.345882061545265e-05
Czech Republic,2029,-3.698400658814999e-05,-1.8492003292779605e-05
Czech Republic,2030,-1.0777189872137634e-05,-5.388594943053278e-06
Czech Republic,2031,-3.1404869680006175e-06,-1.5702434784093498e-06
Czechoslovakia,2027,,0.0
Czechoslovakia,2028,,0.0
Czechoslovakia,2029,,0.0
Czechoslovakia,2030,,0.0
Czechoslovakia,2031,,0.0
Côte d'Ivoire,2027,-4.2031733256057385e-05,-2.1015866632955738e-05
Côte d'Ivoire,2028,1.3633726548366984e-05,6.816863275786793e-06
Côte d'Ivoire,2029,-4.422334782663556e-06,-2.2111673989116313e-06
Côte d'Ivoire,2030,1.4344609548284376e-06,7.172304696578545e-07
Côte d'Ivoire,2031,-4.652922533502963e-07,-2.326461240805766e-07
Denmark,2027,0.017047507144601636,0.008523753572303158
Denmark,2028,-0.013560173219188164,-0.0067800866095922676
Denmark,2029,0.007544017423069217,0.003772008711539178
Denmark,2030,-0.003434910356220773,-0.001717455178110883
Denmark,2031,0.0013087652522909615,0.0006543826261469122
Djibouti,2027,-0.7024674690691779,-0.35123373453457757
Djibouti,2028,0.5625888190410501,0.28129440952052054
Djibouti,2029,-0.44535922263263145,-0.2226796113163161
Djibouti,2030,0.3559448853872426,0.1779724426936188
Djibouti,2031,-0.28228146374734114,-0.14114073187367185
Dominica,2027,0.005340140404864182,0.0026700702024277127
Dominica,2028,0.025741413642045824,0.012870706821025906
Dominica,2029,0.020016732007278493,0.010008366003645838
Dominica,2030,0.008461921084565508,0.004230960542276899
Dominica,2031,0.000570859122855104,0.0002854295614330751
Dominican Republic,2027,-1.0925763148652532,-0.5462881574326341
Dominican Republic,2028,-1.0469356022345182,-0.5234678011172661
Dominican Republic,2029,-1.002738748309045,-0.5013693741545306
Dominican Republic,2030,-0.9599789148883604,-0.47998945744418636
Dominican Republic,2031,-0.918645700822304,-0.4593228504111445
Ecuador,2027,0.0,0.0
Ecuador,2028,0.0,0.0
Ecuador,2029,0.0,0.0
Ecuador,2030,0.0,0.0
Ecuador,2031,0.0,0.0
Egypt,2027,2.7037398192673674,1.3518699096336757
Egypt,2028,2.6315721077016003,1.3157860538508048
Egypt,2029,2.5631317406448804,1.2815658703224435
Egypt,2030,2.4981372251315004,1.2490686125657464
Egypt,2031,2.4363347170312735,1.2181673585156327
El Salvador,2027,2.3790705317550587,1.1895352658775329
El Salvador,2028,2.3172169267184866,1.1586084633592508
El Salvador,2029,2.258335859522142,1.1291679297610726
El Salvador,2030,2.2022182981230682,1.1011091490615406
El Salvador,2031,2.1486743607089154,1.074337180354454
Equatorial Guinea,2027,0.0,0.0
Equatorial Guinea,2028,0.0,0.0
Equatorial Guinea,2029,0.0,0.0
Equatorial Guinea,2030,0.0,0.0
Equatorial Guinea,2031,0.0,0.0
Eritrea,2027,2.920409462076276,1.4602047310381352
Eritrea,2028,-1.7176273683265797,-0.8588136841632948
Eritrea,2029,0.9530680542296452,0.4765340271148209
Eritrea,2030,-0.4261435066873641,-0.21307175334368406
Eritrea,2031,0.10871290957221494,0.05435645478610596
Estonia,2027,-0.10710955289590447,-0.05355477644795002
Estonia,2028,-0.08161676742884498,-0.040808383714416765
Estonia,2029,-0.06217556705529832,-0.0310877835276529
Estonia,2030,-0.047356067076495645,-0.023678033538245158
Estonia,2031,-0.0360634361054777,-0.018031718052734305
Ethiopia,2027,2.6298013195052783,1.3149006597526358
Ethiopia,2028,2.524181786080019,1.2620908930400179
Ethiopia,2029,2.425300154831344,1.2126500774156639
Ethiopia,2030,2.332541756101956,1.1662708780509634
Ethiopia,2031,2.2453644561272648,1.1226822280636457
Falkland Is.(Malvinas),2027,0.0,0.0
Falkland Is.(Malvinas),2028,0.0,0.0
Falkland Is.(Malvinas),2029,0.0,0.0
Falkland Is.(Malvinas),2030,0.0,0.0
Falkland Is.(Malvinas),2031,0.0,0.0
Faroe Islands,2027,0.0002187154799188301,0.00010935773994748279
Faroe Islands,2028,0.00010369085634570097,5.184542817527543e-05
Faroe Islands,2029,4.9158870953500285e-05,2.4579435490275812e-05
Faroe Islands,2030,2.3305776399425793e-05,1.1652888210605398e-05
Faroe Islands,2031,1.1049060798541366e-05,5.524530395156729e-06
"Fiji, Republic of",2027,0.0,0.0
"Fiji, Republic of",2028,0.0,0.0
"Fiji, Republic of",2029,0.0,0.0
"Fiji, Republic of",2030,0.0,0.0
"Fiji, Republic of",2031,0.0,0.0
Finland,2027,0.004093275948159142,0.0020466379740736802
Finland,2028,-0.0018587427447377776,-0.000929371372371065
Finland,2029,0.0008440990239605588,0.0004220495119915071
Finland,2030,-0.00038331496199675905,-0.00019165748099260992
Finland,2031,0.00017406981809900938,8.703490905664366e-05
France,2027,0.0,0.0
France,2028,0.0,0.0
France,2029,0.0,0.0
France,2030,0.0,0.0
France,2031,0.0,0.0
French Guiana,2027,0.0,0.0
French Guiana,2028,0.0,0.0
French Guiana,2029,0.0,0.0
French Guiana,2030,0.0,0.0
French Guiana,2031,0.0,0.0
French Polynesia,2027,0.0,0.0
French Polynesia,2028,0.0,0.0
French Polynesia,2029,0.0,0.0
French Polynesia,2030,0.0,0.0
French Polynesia,2031,0.0,0.0
French Southern Terr,2027,0.0,0.0
French Southern Terr,2028,0.0,0.0
French Southern Terr,2029,0.0,0.0
French Southern Terr,2030,0.0,0.0
French Southern Terr,2031,0.0,0.0
Gabon,2027,-0.6861688803212866,-0.34308444016063955
Gabon,2028,-0.6431023982698112,-0.32155119913490177
Gabon,2029,-0.6024776683801328,-0.30123883419006464
Gabon,2030,-0.5641885160145443,-0.28209425800726207
Gabon,2031,-0.5281293051751355,-0.2640646525875703
Gambia,2027,-0.0046222617876909644,-0.0023111308938515026
Gambia,2028,-0.00044770991732807973,-0.0002238549586606738
Gambia,2029,0.0004592280218399658,0.0002296140109148566
Gambia,2030,0.00034236775366789626,0.00017118387682539256
Gambia,2031,0.00013093917094644686,6.546958546274189e-05
Georgia,2027,10.450842534529613,5.225421267264803
Georgia,2028,9.461976093122066,4.73098804656102
Georgia,2029,8.644067262924251,4.322033631462132
Georgia,2030,7.956310020576884,3.978155010288438
Georgia,2031,7.369927926450642,3.6849639632253344
Germany,2027,-6.329446052937094e-05,-3.164723027247355e-05
Germany,2028,1.3887210275742347e-05,6.943605134326525e-06
Germany,2029,-3.0469405936955684e-06,-1.5234702952733668e-06
Germany,2030,6.685178968187079e-07,3.342589597695144e-07
Germany,2031,-1.466770165223681e-07,-7.333851889722996e-08
Ghana,2027,0.0,0.0
Ghana,2028,0.0,0.0
Ghana,2029,0.0,0.0
Ghana,2030,0.0,0.0
Ghana,2031,0.0,0.0
Gibraltar,2027,0.0,0.0
Gibraltar,2028,0.0,0.0
Gibraltar,2029,0.0,0.0
Gibraltar,2030,0.0,0.0
Gibraltar,2031,0.0,0.0
Greece,2027,0.0,0.0
Greece,2028,0.0,0.0
Greece,2029,0.0,0.0
Greece,2030,0.0,0.0
Greece,2031,0.0,0.0
Greenland,2027,0.0,0.0
Greenland,2028,0.0,0.0
Greenland,2029,0.0,0.0
Greenland,2030,0.0,0.0
Greenland,2031,0.0,0.0
Grenada,2027,4.5192914888218246e-07,2.2596457894478683e-07
Grenada,2028,-2.8236577884828303e-08,-1.4118286494505992e-08
Grenada,2029,-2.4712692128860253e-08,-1.235635391282811e-08
Grenada,2030,-4.57003790356415e-09,-2.2850166917983522e-09
Grenada,2031,-6.051452546962479e-11,-3.0255866781991495e-11
Guadeloupe,2027,0.0,0.0
Guadeloupe,2028,0.0,0.0
Guadeloupe,2029,0.0,0.0
Guadeloupe,2030,0.0,0.0
Guadeloupe,2031,0.0,0.0
Guam,2027,0.0,0.0
Guam,2028,0.0,0.0
Guam,2029,0.0,0.0
Guam,2030,0.0,0.0
Guam,2031,0.0,0.0
Guatemala,2027,0.0,0.0
Guatemala,2028,0.0,0.0
Guatemala,2029,0.0,0.0
Guatemala,2030,0.0,0.0
Guatemala,2031,0.0,0.0
Guinea,2027,6.659123662926546,3.329561831463263
Guinea,2028,-6.166505483475689,-3.0832527417378426
Guinea,2029,6.490845691364902,3.245422845682453
Guinea,2030,-6.020174249676161,-3.0100871248380723
Guinea,2031,6.326951122728241,3.1634755613641214
Guinea-Bissau,2027,0.07335520091938574,0.03667760045968408
Guinea-Bissau,2028,-0.0729129185650773,-0.03645645928254483
Guinea-Bissau,2029,0.07257938556011381,0.03628969278006352
Guinea-Bissau,2030,-0.07214234012992435,-0.036071170064964575
Guinea-Bissau,2031,0.07181177829064708,0.03590588914532109
Guyana,2027,0.0007518675838636233,0.0003759337919396735
Guyana,2028,-0.0003179557652717311,-0.0001589778826339379
Guyana,2029,0.00012988896061499045,6.494448030114763e-05
Guyana,2030,-5.4233134895850235e-05,-2.711656744868135e-05
Guyana,2031,2.2333206677960615e-05,1.116660332530036e-05
Haiti,2027,0.5240230306438576,0.262011515321925
Haiti,2028,0.48906001039787583,0.24453000519893184
Haiti,2029,0.4567057858830631,0.22835289294154695
Haiti,2030,0.42659127732037,0.2132956386601873
Haiti,2031,0.3985943219662294,0.19929716098312095
Honduras,2027,9.757943917315473e-05,4.8789719580923625e-05
Honduras,2028,-4.9722046758938744e-05,-2.4861023389061712e-05
Honduras,2029,-3.9300901311679154e-05,-1.965045065710887e-05
Honduras,2030,-1.5283337681646838e-05,-7.641668837296531e-06
Honduras,2031,-3.4596721741402925e-06,-1.7298360845068128e-06
Hungary,2027,-0.001158858632596096,-0.0005794293163017905
Hungary,2028,0.0005543923894449045,0.0002771961947400996
Hungary,2029,-0.0002652141056286556,-0.0001326070528079416
Hungary,2030,0.00012687601717120442,6.343800857360397e-05
Hungary,2031,-6.069609524460594e-05,-3.0348047610233964e-05
Iceland,2027,2.030581114660062e-07,1.0152905282563106e-07
Iceland,2028,-3.819818819357861e-08,-1.9099093817321772e-08
Iceland,2029,7.185632721577153e-09,3.592820901948455e-09
Iceland,2030,-1.3517449609568487e-09,-6.758741245006394e-10
Iceland,2031,2.542816139163168e-10,1.2713848758011856e-10
India,2027,-0.2913517806517738,-0.14567589032589764
India,2028,-0.2536021467721644,-0.12680107338608207
India,2029,-0.2206600854086843,-0.11033004270434649
India,2030,-0.19193369876038074,-0.09596684938019834
India,2031,-0.16689897458629063,-0.08344948729313853
Indonesia,2027,-2.6220795615967982,-1.3110397807983907
Indonesia,2028,1.0397897704740522,0.5198948852370283
Indonesia,2029,0.37515632304386737,0.18757816152192322
Indonesia,2030,-0.8250839972042217,-0.41254199860211144
Indonesia,2031,0.5540845829131151,0.2770422914565561
Iran (Islamic Rep. of),2027,2.984373757124594,1.4921868785622925
Iran (Islamic Rep. of),2028,2.897864024539334,1.4489320122696858
Iran (Islamic Rep. of),2029,2.8162277080229456,1.4081138540114744
Iran (Islamic Rep. of),2030,2.739064282543065,1.3695321412715318
Iran (Islamic Rep. of),2031,2.6660159426528525,1.3330079713264276
Iraq,2027,0.0013009244106797905,0.000650462205338132
Iraq,2028,0.0005148808365934385,0.00025744041829727735
Iraq,2029,3.565868997252703e-05,1.782934497294921e-05
Iraq,2030,-6.152897487208177e-05,-3.076448743912644e-05
Iraq,2031,-3.3055686558134415e-05,-1.6527843285802746e-05
Ireland,2027,0.0,0.0
Ireland,2028,0.0,0.0
Ireland,2029,0.0,0.0
Ireland,2030,0.0,0.0
Ireland,2031,0.0,0.0
Isle of Man,2027,0.0,0.0
Isle of Man,2028,0.0,0.0
Isle of Man,2029,0.0,0.0
Isle of Man,2030,0.0,0.0
Isle of Man,2031,0.0,0.0
Israel,2027,0.0,0.0
Israel,2028,0.0,0.0
Israel,2029,0.0,0.0
Israel,2030,0.0,0.0
Israel,2031,0.0,0.0
Italy,2027,0.0,0.0
Italy,2028,0.0,0.0
Italy,2029,0.0,0.0
Italy,2030,0.0,0.0
Italy,2031,0.0,0.0
Jamaica,2027,0.0,0.0
Jamaica,2028,0.0,0.0
Jamaica,2029,0.0,0.0
Jamaica,2030,0.0,0.0
Jamaica,2031,0.0,0.0
Japan,2027,0.0028870867060127687,0.0014435433530114853
Japan,2028,-0.00191594389902854,-0.0009579719495143075
Japan,2029,0.0012715299930422471,0.0006357649965108649
Japan,2030,-0.0008438331570935462,-0.0004219165785374125
Japan,2031,0.0005600099593234978,0.00028000497966373375
Jordan,2027,0.0,0.0
Jordan,2028,0.0,0.0
Jordan,2029,0.0,0.0
Jordan,2030,0.0,0.0
Jordan,2031,0.0,0.0
Kazakhstan,2027,-1.1379850554847324e-06,-5.689925229534726e-07
Kazakhstan,2028,2.428113754455602e-07,1.2140568893985987e-07
Kazakhstan,2029,-5.180855155926663e-08,-2.590428638904525e-08
Kazakhstan,2030,1.1054361499880167e-08,5.527187081173179e-09
Kazakhstan,2031,-2.358668295603044e-09,-1.17932921461928e-09
Kenya,2027,7.382161071176883e-05,3.6910805342751495e-05
Kenya,2028,-2.2381684175745742e-05,-1.1190842082646153e-05
Kenya,2029,6.785821435685008e-06,3.3929107150845302e-06
Kenya,2030,-2.0573679113965314e-06,-1.028683959535168e-06
Kenya,2031,6.237657599313798e-07,3.118828735798922e-07
Kiribati,2027,0.0,0.0
Kiribati,2028,0.0,0.0
Kiribati,2029,0.0,0.0
Kiribati,2030,0.0,0.0
Kiribati,2031,0.0,0.0
"Korea, Dem. People's Rep",2027,-4.993529544595761e-05,-2.4967647727122057e-05
"Korea, Dem. People's Rep",2028,2.5535775719318196e-05,1.2767887857714427e-05
"Korea, Dem. People's Rep",2029,-1.3058405769456243e-05,-6.529202887755114e-06
