Country,Year,OFR_forecast,PriceIndex_forecast
Cook Islands,2023,675.5651260504201,496.31982646539643
Cook Islands,2024,683.4495798319327,499.30312060003166
Cook Islands,2025,691.3340336134453,502.286414734667
Costa Rica,2019,6998.5794117647065,1108.4085746911362
Costa Rica,2020,7098.558823529412,1116.3827134720432
Costa Rica,2021,7198.538235294118,1124.35685225295
Costa Rica,2022,7298.517647058824,1132.3309910338571
Costa Rica,2023,7398.49705882353,1140.305129814764
Costa Rica,2024,7498.476470588235,1148.2792685956713
Costa Rica,2025,7598.455882352941,1156.2534073765783
Croatia,2019,218.25709198084246,402.3543970457806
Croatia,2020,221.42023824143436,405.2912904548739
Croatia,2021,224.5833845020263,408.22818386396716
Croatia,2022,227.7465307626182,411.16507727306043
Croatia,2023,230.90967702321012,414.1019706821538
Croatia,2024,234.07282328380205,417.0388640912471
Croatia,2025,237.23596954439395,419.97575750034036
Cuba,2019,529.1688175270108,329.4399913234547
Cuba,2020,535.3886554621849,331.38755210135264
Cuba,2021,541.608493397359,333.3351128792506
Cuba,2022,547.828331332533,335.2826736571485
Cuba,2023,554.0481692677071,337.2302344350464
Cuba,2024,560.2680072028811,339.1777952129443
Cuba,2025,566.4878451380553,341.12535599084225
Cyprus,2019,1785.4264705882354,1402.546679734134
Cyprus,2020,1809.8529411764705,1412.206901229004
Cyprus,2021,1834.2794117647059,1421.8671227238742
Cyprus,2022,1858.7058823529412,1431.5273442187442
Cyprus,2023,1883.1323529411766,1441.1875657136147
Cyprus,2024,1907.5588235294117,1450.8477872084848
Cyprus,2025,1931.985294117647,1460.5080087033548
Czech Republic,2019,110.02067749881357,402.3543970457806
Czech Republic,2020,111.61518007126014,405.2912904548739
Czech Republic,2021,113.20968264370671,408.22818386396716
Czech Republic,2022,114.80418521615329,411.16507727306043
Czech Republic,2023,116.39868778859986,414.10197068215376
Czech Republic,2024,117.99319036104643,417.0388640912471
Czech Republic,2025,119.58769293349302,419.97575750034036
Czechoslovakia,2019,0.0,143.61992821181107
Czechoslovakia,2020,0.0,143.61992821181107
Czechoslovakia,2021,0.0,143.61992821181107
Czechoslovakia,2022,0.0,143.61992821181107
Czechoslovakia,2023,0.0,143.61992821181107
Czechoslovakia,2024,0.0,143.61992821181107
Czechoslovakia,2025,0.0,143.61992821181107
Côte d'Ivoire,2019,737.9140046747176,312.107558078037
Côte d'Ivoire,2020,747.1591351772498,314.07503986640126
Côte d'Ivoire,2021,756.4042656797819,316.0425216547655
